customer_id,tenure,monthly_charge,contract,region,churn
C001,1,78.5,month_to_month,north,yes
C002,2,81.0,month_to_month,south,yes
C003,3,64.2,annual,east,no
C004,4,70.1,annual,west,no
C005,5,95.5,month_to_month,north,yes
C006,6,58.2,two_year,south,no
C007,7,76.4,month_to_month,east,yes
C008,8,62.0,annual,west,no
C009,9,88.3,month_to_month,north,yes
C010,10,60.5,two_year,south,no
C011,11,92.1,month_to_month,east,yes
C012,12,55.6,annual,west,no
C013,13,83.7,month_to_month,north,yes
C014,14,57.9,two_year,south,no
C015,15,71.8,annual,east,no
C016,16,98.4,month_to_month,west,yes
C017,17,59.4,two_year,north,no
C018,18,85.0,month_to_month,south,yes
C019,19,61.2,annual,east,no
C020,20,90.7,month_to_month,west,yes
